URL,YEAR,MAKE,MODEL,PRICE,STATE,ODOMETER,TRANSMISSION,FUEL,COLOR,CYLINDERS,CONDITION
https://orangecounty.craigslist.org//ctd/5880812724.html,2015,Toyota,Camry,$16362,California,25147,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5880810707.html,2015,Toyota,Camry,$17386,California,14155,automatic,gas,blue,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5880022551.html,2012,Toyota,Camry,$10900,California,unk,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5879994001.html,2011,Toyota,Camry,$16980,California,43034,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5879328444.html,2015,Toyota,Camry,$16499,California,unk,automatic,gas,grey,4 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5879182024.html,2012,Toyota,Camry,$9995,California,117000,automatic,gas,black,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5879042339.html,2015,Toyota,Camry,$21938,California,15,automatic,gas,red,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5879024622.html,2015,Toyota,Camry,$15785,California,40017,automatic,gas,silver,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5841617584.html,2013,Toyota,Camry,$15500,California,34000,automatic,gas,black,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5878450926.html,2014,Toyota,Camry,$13999,California,unk,automatic,gas,blue,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5878193580.html,2015,Toyota,Camry,$20879,California,25590,automatic,gas,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5876768037.html,2012,Toyota,Camry,$12990,California,75142,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5876152582.html,2010,Toyota,Camry,$2027,California,unk,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5876221732.html,2011,Toyota,Camry,$10591,California,83350,automatic,gas,unk,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5876207473.html,2011,Toyota,Camry,$10591,California,83350,automatic,gas,unk,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5876126786.html,2014,Toyota,Camry,$14998,California,43916,automatic,gas,white,unk,Used,clean
https://orangecounty.craigslist.org//ctd/5875984583.html,2011,Toyota,Camry,$9999,California,85700,automatic,gas,silver,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5875182905.html,2010,Toyota,Camry,$9997,California,unk,automatic,other,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5875176931.html,2015,Toyota,Camry,$15200,California,unk,automatic,gas,black,unk,like new,clean
https://orangecounty.craigslist.org//ctd/5875111606.html,2015,Toyota,Camry,$15333,California,unk,automatic,gas,white,unk,like new,clean
